continent,city,lat,lon
Europe,Vienna,48.208174,16.373819
Europe,Minsk,53.90454,27.561524
Europe,Brussels,50.85034,4.35171
Europe,Sofia,42.697708,23.321868
Europe,Prague,50.107557,14.268755
Europe,London,51.507351,-0.127758
Europe,Paris,48.856614,2.352222
Europe,Berlin,52.520007,13.404954
Europe,Athens,37.98381,23.727539
Europe,Budapest,47.497912,19.040235
Europe,Rome,41.902783,12.496366
Europe,Warsaw,52.229676,21.012229
Europe,Bucharest,44.426767,26.102538
Europe,Madrid,40.416775,-3.70379
Europe,Stockholm,59.329323,18.068581
Europe,Bern,46.947974,7.447447
Europe,Kiev,50.4501,30.5234
Europe,Khabarovsk,48.502731,135.06626
Europe,Moscow,55.755826,37.6173
Europe,Novosibirsk,55.008353,82.935733
Africa,Cairo,30.04442,31.235712
Africa,Lagos,6.524379,3.379206
Africa,Johannesburg,-26.204103,28.047305
SouthAmerica,BuenosAires,-34.603684,-58.381559
SouthAmerica,RioDeJaneiro,-22.906847,-43.172896
SouthAmerica,SanPaulo,-23.55052,-46.633309
SouthAmerica,Santiago,-33.44889,-70.669265
SouthAmerica,MexicoCity,19.432608,-99.133208
SouthAmerica,Lima,-12.046374,-77.042793
NorthAmerica,LosAngeles,34.052234,-118.243685
NorthAmerica,NewYork,40.712784,-74.005941
NorthAmerica,WashingtonDC,38.907192,-77.036871
Asia,Kabul,34.555349,69.207486
Asia,Baku,40.409262,49.867092
Asia,Dhaka,23.810332,90.412518
Asia,Beijing,39.904211,116.407395
Asia,Chongqing,29.56301,106.551556
Asia,HongKong,22.396428,114.109497
Asia,Shanghai,31.230416,121.473701
Asia,Ulumuti,39.098052,117.186534
Asia,Bangalore,12.971599,77.594563
Asia,Kolkata,22.572646,88.363895
Asia,Mumbai,19.075984,72.877656
Asia,NewDelhi,28.613939,77.209021
Asia,Jakarta,-6.208763,106.845599
Asia,Baghdad,33.312806,44.361488
Asia,Tokyo,35.709026,139.731992
Asia,Almaty,43.222015,76.851248
Asia,Naypyidaw,19.763306,96.07851
Asia,Yangon,16.866069,96.195132
Asia,Kathmandu,27.717245,85.32396
Asia,Pyongyang,39.039219,125.762524
Asia,Isramabad,33.729388,73.093146
Asia,Manila,14.599512,120.984219
Asia,Shingapore,1.355379,103.867744
Asia,Busan,35.179554,129.075642
Asia,Seoul,37.566535,126.977969
Asia,Bangkok,13.756331,100.501765
Asia,HoChiMinh,17.663007,106.252511
Asia,Sydney,-33.867487,151.20699
